batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,1758.755,3540.5991,1781.8441,121,1086.5148,271.6287,14.726,67.9072
16,8192,3386.4778,5188.8926,1802.4148,119,1056.3606,264.0902,15.1463,66.0225
16,16384,7172.9077,9089.4492,1916.5415,115,960.0627,240.0157,16.6656,60.0039
32,4096,3027.4429,5019.2222,1991.7793,119,1911.8584,477.9646,16.7376,59.7456
32,8192,6379.7832,8281.1504,1901.3672,115,1935.4494,483.8624,16.5336,60.4828
32,16384,14377.9443,16342.3838,1964.4395,107,1742.9909,435.7477,18.3592,54.4685
64,4096,6000.522,7967.1938,1966.6719,115,3742.363,935.5907,17.1015,58.4744
64,8192,12849.5781,14959.7568,2110.1787,107,3245.2228,811.3057,19.7213,50.7066
64,16384,29997.1074,32463.875,2466.7676,91,2360.9845,590.2461,27.1073,36.8904
128,4096,12537.668,14779.0527,2241.3848,107,6110.5082,1527.6271,20.9475,47.7383
128,8192,26436.1562,29872.5,3436.3438,91,3389.6492,847.4123,37.762,26.4816
128,16384,61958.6289,67311.4062,5352.7773,59,1410.8564,352.7141,90.725,11.0223
