batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,1718.0935,2233.5317,515.4382,121,3756.0272,939.0068,4.2598,234.7517
16,8192,2289.8108,3530.8003,1240.9895,119,1534.2596,383.5649,10.4285,95.8912
16,16384,5257.0776,6505.4653,1248.3877,115,1473.9011,368.4753,10.8555,92.1188
32,4096,2027.1036,3357.499,1330.3954,119,2862.307,715.5767,11.1798,89.4471
32,8192,4388.2573,5658.5161,1270.2588,115,2897.0475,724.2619,11.0457,90.5327
32,16384,10429.585,11574.6094,1145.0244,107,2990.3293,747.5823,10.7012,93.4478
64,4096,4016.771,5300.3169,1283.5459,115,5734.1152,1433.5288,11.1613,89.5955
64,8192,8761.2451,10019.0537,1257.8086,107,5444.3896,1361.0974,11.7552,85.0686
64,16384,20920.3594,22110.5078,1190.1484,91,4893.5072,1223.3768,13.0786,76.4611
128,4096,8000.2471,9286.5293,1286.2822,107,10647.741,2661.9352,12.0213,83.1855
128,8192,17703.332,19137.457,1434.125,91,8122.0256,2030.5064,15.7596,63.4533
128,16384,43080.5547,44434.4961,1353.9414,59,5577.7894,1394.4473,22.9482,43.5765
