batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,4367.4106,5090.9053,723.4946,121,2675.901,167.2438,5.9793,167.2438
16,8192,4413.6514,7278.9922,2865.3408,119,664.4934,41.5308,24.0785,41.5308
16,16384,9097.4453,12031.6045,2934.1592,115,627.0962,39.1935,25.5144,39.1935
32,4096,4034.9695,7082.0288,3047.0593,119,1249.7295,78.1081,25.6055,39.054
32,8192,8276.0127,11199.8613,2923.8486,115,1258.6151,78.6634,25.4248,39.3317
32,16384,18021.373,20851.9023,2830.5293,107,1209.6677,75.6042,26.4535,37.8021
64,4096,7921.4365,10893.3828,2971.9463,115,2476.4916,154.7807,25.843,38.6952
64,8192,16467.8965,19197.4023,2729.5059,107,2508.879,156.8049,25.5094,39.2012
64,16384,36005.3984,38538.7109,2533.3125,91,2298.9663,143.6854,27.8386,35.9213
128,4096,15744.1777,18536.5645,2792.3867,107,4904.7648,306.5478,26.0971,38.3185
128,8192,32973.5938,35299.082,2325.4883,91,5008.8405,313.0525,25.5548,39.1316
128,16384,72604.0859,76914.0078,4309.9219,59,1752.2359,109.5147,73.0495,13.6893
