batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,1552.7531,2246.0229,693.2699,121,2792.5632,349.0704,5.7295,174.5352
16,8192,1266.6808,2865.696,1599.0153,119,1190.7329,148.8416,13.4371,74.4208
16,16384,2613.6929,4180.1421,1566.4492,115,1174.6311,146.8289,13.6213,73.4144
32,4096,1172.5132,2801.6853,1629.1721,119,2337.3835,292.1729,13.6905,73.0432
32,8192,2345.6541,3944.5388,1598.8848,115,2301.6043,287.7005,13.9033,71.9251
32,16384,5145.2427,6628.0298,1482.7871,107,2309.1649,288.6456,13.8578,72.1614
64,4096,2252.0723,3880.3418,1628.2695,115,4520.1362,565.017,14.1589,70.6271
64,8192,4670.6772,6163.1973,1492.52,107,4588.2132,573.5266,13.9488,71.6908
64,16384,10315.0078,11579.4248,1264.417,91,4606.0754,575.7594,13.8947,71.9699
128,4096,4473.4609,6163.1421,1689.6812,107,8105.6713,1013.2089,15.7914,63.3256
128,8192,9287.0654,10711.8477,1424.7822,91,8175.2845,1021.9106,15.6569,63.8694
128,16384,20712.4902,21697.2754,984.7852,59,7668.6777,958.5847,16.6913,59.9115
