batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,4786.7661,6713.0493,1926.2832,121,1005.0443,251.2611,15.9197,62.8153
16,8192,9785.9189,12174.8135,2388.8945,119,797.0214,199.2553,20.0747,49.8138
16,16384,22280.373,24725.1152,2444.7422,115,752.6356,188.1589,21.2586,47.0397
32,4096,9058.332,11469.9893,2411.6572,119,1578.9972,394.7493,20.266,49.3437
32,8192,19610.4902,22058.5762,2448.0859,115,1503.2152,375.8038,21.2877,46.9755
32,16384,45030.9062,47893.1094,2862.2031,107,1196.2813,299.0703,26.7496,37.3838
64,4096,18103.8047,20866.8691,2763.0645,115,2663.7091,665.9273,24.0266,41.6205
64,8192,39253.2383,42264.7578,3011.5195,107,2273.9351,568.4838,28.145,35.5302
64,16384,90968.4688,94594.375,3625.9062,91,1606.2191,401.5548,39.8451,25.0972
128,4096,36771.7148,40411.9961,3640.2812,107,3762.3467,940.5867,34.0213,29.3933
128,8192,80300.1328,84643.4688,4343.3359,91,2681.8096,670.4524,47.729,20.9516
