batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,2407.6487,5075.4912,2667.8425,121,725.68,90.71,22.0483,45.355
16,8192,4063.9153,6911.4888,2847.5735,119,668.6395,83.5799,23.9292,41.79
16,16384,8663.7812,11481.9131,2818.1318,115,652.9148,81.6144,24.5055,40.8072
32,4096,3781.3047,6771.3062,2990.0015,119,1273.578,159.1972,25.1261,39.7993
32,8192,7871.1421,10674.5078,2803.3657,115,1312.7078,164.0885,24.3771,41.0221
32,16384,17163.0957,19841.3125,2678.2168,107,1278.4626,159.8078,25.0301,39.952
64,4096,7481.457,10403.3477,2921.8906,115,2518.917,314.8646,25.4077,39.3581
64,8192,15658.9746,18416.5645,2757.5898,107,2483.328,310.416,25.7719,38.802
64,16384,34566.0078,36856.9531,2290.9453,91,2542.182,317.7728,25.1752,39.7216
128,4096,15009.0596,17893.2344,2884.1748,107,4748.672,593.584,26.9549,37.099
128,8192,31680.4375,34069.8047,2389.3672,91,4874.9309,609.3664,26.2568,38.0854
128,16384,70746.375,72897.2188,2150.8438,59,3511.1802,438.8975,36.455,27.4311
