batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,682.8517,1527.0751,844.2233,121,2293.2321,573.308,6.9771,143.327
16,8192,962.6225,1969.2528,1006.6303,119,1891.459,472.8648,8.4591,118.2162
16,16384,1976.0715,2996.7083,1020.6367,115,1802.7962,450.6991,8.8751,112.6748
32,4096,835.8149,1907.4954,1071.6804,119,3553.2981,888.3245,9.0057,111.0406
32,8192,1724.3048,2760.5254,1036.2206,115,3551.3674,887.8419,9.0106,110.9802
32,16384,3927.6726,4895.5854,967.9128,107,3537.5086,884.3771,9.0459,110.5471
64,4096,1945.6481,2716.2065,770.5585,115,9551.514,2387.8785,6.7005,149.2424
64,8192,3443.3228,4508.2715,1064.9487,107,6430.3565,1607.5891,9.9528,100.4743
64,16384,8003.564,8881.9033,878.3394,91,6630.6946,1657.6736,9.6521,103.6046
128,4096,3266.6133,4400.9829,1134.3696,107,12073.666,3018.4165,10.6016,94.3255
128,8192,7098.5708,8156.4492,1057.8784,91,11010.7171,2752.6793,11.625,86.0212
128,16384,16614.9121,17750.4199,1135.5078,59,6650.7689,1662.6922,19.2459,51.9591
